survey_year,source_file,source_row,response_id,ID_original,ID,inclusion_status,trial_order,position,condition,trial,counter_original,counter_value,counter_missing,counter_non_numeric,counter_non_integer,counter_negative,documented_missing,counter_sequence_decreased,counter_status,counter_note
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,A,HB,01,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,A,HB,02,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,A,HB,03,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,A,HB,04,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,B,LB,01,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,B,LB,02,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,B,LB,03,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,B,LB,04,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,A,,01,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,B,,01,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,A,,02,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,B,,02,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,A,,03,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,B,,03,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,A,,04,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,9,25,BA05AI17,BA05AI17,EXCLUDED,,B,,04,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,B,HB,01,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,B,HB,02,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,B,HB,03,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,B,HB,04,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,A,LB,01,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,A,LB,02,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,A,LB,03,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,5,21,KA11BE12,KA11BE12,EXCLUDED,LB_HB,A,LB,04,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,B,HB,01,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,B,HB,02,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,B,HB,03,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,B,HB,04,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,A,LB,01,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,A,LB,02,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,A,LB,03,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,8,24,MA02,MA02,EXCLUDED,LB_HB,A,LB,04,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,B,HB,01,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,B,HB,02,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,B,HB,03,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,B,HB,04,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,A,LB,01,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,A,LB,02,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,A,LB,03,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,4,20,MA03ON12,MA03ON12,EXCLUDED,LB_HB,A,LB,04,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,15,33,pilotB,PILOTB,EXCLUDED,HB_LB,A,HB,01,22,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
