survey_year,source_file,source_row,response_id,ID_original,ID,inclusion_status,trial_order,scale,position,condition,timepoint,item,item_original,item_value,item_missing,item_non_numeric,item_non_integer,item_out_of_range,expected_missing,item_status,item_note
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,01,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,03,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,09,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,10,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,22,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,23,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,24,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,baseline,28,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,01,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,03,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,09,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,10,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,22,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,23,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,24,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
2026,limesurvey_2026_deidentified.csv,12,30,aa11aa11,AA11AA11,EXCLUDED,HB_LB,MSBS,A,HB,post,28,1 - stimme überhaupt nicht zu,1,FALSE,FALSE,FALSE,FALSE,FALSE,EXCLUDED_SOURCE_ROW,
