survey_year,source_file,source_row,response_id,ID_original,ID,ID_changed,ID_valid,psychopy_match,submitted,last_page,survey_trial_order_original,survey_trial_order,psychopy_trial_order,trial_order,survey_order_valid,order_conflict,inclusion_status,audit_issue,audit_note
2024,limesurvey_2024_deidentified.csv,2,18,TEST,TEST,FALSE,FALSE,FALSE,14.06.2024 12:21,17,LB_HB,LB_HB,,LB_HB,TRUE,FALSE,EXCLUDED,"missing, test, pilot, or invalid participant ID",
2024,limesurvey_2024_deidentified.csv,3,19,CH18EU28,CH18EU28,FALSE,TRUE,TRUE,14.06.2024 12:51,17,HB_LB,HB_LB,HB_LB,HB_LB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,4,20,JE06AD10,JE06AD10,FALSE,TRUE,TRUE,14.06.2024 14:13,17,LB_HB,LB_HB,LB_HB,LB_HB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,5,21,KO24IE08,KO24IE08,FALSE,TRUE,TRUE,14.06.2024 15:49,17,HB_LB,HB_LB,HB_LB,HB_LB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,6,22,KE30IE06,KE30IE06,FALSE,TRUE,TRUE,18.06.2024 09:30,17,LB_HB,LB_HB,LB_HB,LB_HB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,7,23,JO26EI26,JO26EI26,FALSE,TRUE,TRUE,19.06.2024 10:23,17,HB_LB,HB_LB,HB_LB,HB_LB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,8,24,HE20ÜB06,HE20ÜB06,FALSE,TRUE,TRUE,19.06.2024 10:10,17,LB_HB,LB_HB,LB_HB,LB_HB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,9,25,MA25UT20,MA25UT20,FALSE,TRUE,TRUE,19.06.2024 11:32,17,HB_LB,HB_LB,HB_LB,HB_LB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,10,26,TA17ER04,TA17ER04,FALSE,TRUE,TRUE,19.06.2024 11:30,17,LB_HB,LB_HB,LB_HB,LB_HB,TRUE,FALSE,INCLUDED,,
2024,limesurvey_2024_deidentified.csv,11,27,BE06LL24,BE06LL24,FALSE,TRUE,TRUE,19.06.2024 12:30,17,HB_LB,HB_LB,HB_LB,HB_LB,TRUE,FALSE,INCLUDED,,
