ID,Condition,baseline_missing,valid_trial_ratings,missing_trial_ratings,complete_trials
AN06AN18,HB,FALSE,4,0,TRUE
AN06AN18,LB,FALSE,4,0,TRUE
AN07IE11,HB,FALSE,4,0,TRUE
AN07IE11,LB,FALSE,4,0,TRUE
AN11ST11,HB,FALSE,4,0,TRUE
AN11ST11,LB,FALSE,4,0,TRUE
AN15AV09,HB,FALSE,4,0,TRUE
AN15AV09,LB,FALSE,4,0,TRUE
AN23BE15,HB,FALSE,4,0,TRUE
AN23BE15,LB,FALSE,4,0,TRUE
AN29RA22,HB,FALSE,4,0,TRUE
AN29RA22,LB,FALSE,4,0,TRUE
BE06LL24,HB,FALSE,4,0,TRUE
BE06LL24,LB,FALSE,4,0,TRUE
BG22OE24,HB,FALSE,3,1,FALSE
BG22OE24,LB,FALSE,4,0,TRUE
BI20OE24,HB,FALSE,4,0,TRUE
BI20OE24,LB,FALSE,4,0,TRUE
CA04TU11,HB,FALSE,4,0,TRUE
CA04TU11,LB,FALSE,4,0,TRUE
CA11UR11,HB,FALSE,4,0,TRUE
CA11UR11,LB,FALSE,4,0,TRUE
CH08TU30,HB,FALSE,4,0,TRUE
CH08TU30,LB,FALSE,4,0,TRUE
CH10AL22,HB,FALSE,4,0,TRUE
CH10AL22,LB,FALSE,4,0,TRUE
CH11RE22,HB,FALSE,4,0,TRUE
CH11RE22,LB,FALSE,4,0,TRUE
CL22OE02,HB,FALSE,4,0,TRUE
CL22OE02,LB,FALSE,4,0,TRUE
CL23ON05,HB,FALSE,4,0,TRUE
CL23ON05,LB,FALSE,4,0,TRUE
DI16UB31,HB,FALSE,4,0,TRUE
DI16UB31,LB,FALSE,4,0,TRUE
DO11UB30,HB,FALSE,4,0,TRUE
DO11UB30,LB,FALSE,4,0,TRUE
EL30AD28,HB,FALSE,4,0,TRUE
EL30AD28,LB,FALSE,4,0,TRUE
HE20UB06,HB,FALSE,4,0,TRUE
HE20UB06,LB,FALSE,4,0,TRUE
IN06UE25,HB,FALSE,4,0,TRUE
IN06UE25,LB,FALSE,4,0,TRUE
JE06AD10,HB,FALSE,4,0,TRUE
JE06AD10,LB,FALSE,4,0,TRUE
JO26EI26,HB,FALSE,4,0,TRUE
JO26EI26,LB,FALSE,4,0,TRUE
JU20UC09,HB,FALSE,4,0,TRUE
JU20UC09,LB,FALSE,4,0,TRUE
KA09UH17,HB,FALSE,4,0,TRUE
KA09UH17,LB,FALSE,4,0,TRUE
KA14RE15,HB,FALSE,4,0,TRUE
KA14RE15,LB,TRUE,0,4,FALSE
KE30IE06,HB,FALSE,4,0,TRUE
KE30IE06,LB,FALSE,4,0,TRUE
KO24IE08,HB,FALSE,4,0,TRUE
KO24IE08,LB,FALSE,4,0,TRUE
LE11ON12,HB,FALSE,4,0,TRUE
LE11ON12,LB,FALSE,4,0,TRUE
MA25UT20,HB,FALSE,4,0,TRUE
MA25UT20,LB,FALSE,4,0,TRUE
MI27ER17,HB,FALSE,4,0,TRUE
MI27ER17,LB,FALSE,4,0,TRUE
NF16CH30,HB,FALSE,4,0,TRUE
NF16CH30,LB,FALSE,4,0,TRUE
PE16IN18,HB,FALSE,4,0,TRUE
PE16IN18,LB,FALSE,4,0,TRUE
RE13ON18,HB,FALSE,4,0,TRUE
RE13ON18,LB,FALSE,4,0,TRUE
SA09OR12,HB,FALSE,4,0,TRUE
SA09OR12,LB,FALSE,4,0,TRUE
SI21UR22,HB,FALSE,4,0,TRUE
SI21UR22,LB,FALSE,4,0,TRUE
SI22IE06,HB,FALSE,4,0,TRUE
SI22IE06,LB,FALSE,4,0,TRUE
TA17ER04,HB,FALSE,4,0,TRUE
TA17ER04,LB,FALSE,4,0,TRUE
UL01RL21,HB,FALSE,4,0,TRUE
UL01RL21,LB,FALSE,4,0,TRUE
UL22ON24,HB,FALSE,4,0,TRUE
UL22ON24,LB,FALSE,4,0,TRUE
UR31EM17,HB,FALSE,4,0,TRUE
UR31EM17,LB,FALSE,4,0,TRUE
